waveAng,fluxmaggies
430.0,1.4983344460796987e-12
441.00000000000006,1.4106306618261358e-12
451.0,2.1925267625060462e-12
460.0,2.1967844911567603e-12
470.00000000000006,3.09674738024137e-12
480.0,2.5669901222489833e-12
489.99999999999994,3.110162918489883e-12
500.0,4.48550961028525e-12
506.0,4.8538984383333344e-12
512.0,4.431512421657005e-12
520.0,5.637746146114618e-12
530.0,6.4142870822214306e-12
540.0,4.917852383773651e-12
550.0,6.831135411044999e-12
560.0,8.765992206376263e-12
570.0,8.638490110385617e-12
580.0,1.0273100627053113e-11
590.0,1.1733010507931945e-11
600.0,1.0672153781913238e-11
610.0,1.3885091828828557e-11
620.0,1.2414295759653676e-11
630.0,1.8555438487059824e-11
640.0,1.5629342547107374e-11
650.0,1.8503271775495543e-11
658.0,1.899722875974842e-11
665.0,2.0120123582419582e-11
675.0,2.206404017439766e-11
685.0,2.3232319343910222e-11
695.0,2.4654547869801382e-11
705.0,2.6641893167662394e-11
716.0,2.8846202722275552e-11
726.0,3.087886629428831e-11
735.0,3.232631023863267e-11
745.0,3.3398058385021355e-11
755.0,2.4424355769854057e-11
765.0,3.961888586406197e-11
775.0,3.63421550792441e-11
785.0,3.037351330659341e-11
795.0,4.5653624051154326e-11
805.0,4.726845397506384e-11
815.0,4.929049613198629e-11
825.0,5.22325945307601e-11
835.0,4.7321915352093316e-11
845.0,5.7416730391146505e-11
854.9999999999999,5.837366446031708e-11
865.0,5.919846664710225e-11
875.0,6.441232553610049e-11
885.0000000000001,6.85161244635125e-11
894.9999999999999,7.144519420938825e-11
905.0,7.451193759309824e-11
915.0,2.349746760641639e-10
924.9999999999999,2.3793061295017704e-10
935.0,2.7393870067643e-10
945.0,2.981979573704072e-10
955.0000000000001,2.8453054931558716e-10
964.9999999999999,3.428460018586341e-10
975.0,2.4727601592491937e-10
985.0,3.7719853021918603e-10
995.0000000000001,3.320928786115975e-10
1005.0,4.334049418684982e-10
1015.0,4.0751998448197617e-10
1025.0,2.7191201897646837e-10
1035.0,3.754812458838357e-10
1045.0,5.099362547707107e-10
